Company,Exchange:Ticker,Industry ,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Marketcapital,PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Daily trading volume/Shrs outs),Book Debt to capital ratio,MDC,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,roe,Return on Capital (ROC or ROIC),npm,Pre-tax Operating Margin,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,CRP,Country Marginal tax rate
Linz Textil Holding Aktiengesellschaft (WBAG:LTH),WBAG:LTH,Apparel,Austria,Developed Europe,EU & Environs,0.8237,0.8237,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$215.90 ,$0.00 ,$0.00 ,$0.00 ,$215.90 ,$0.00 ,$215.90 ,0.00%,NA,0.00%,0.00%,0.00%,0.00%,$719.66 ,0.18,NA,NA,0.11,NA,36.53,53.31,NA,NA,1.57,1.13,NA,13.41,1.57,1.13,0.00%,0.00%,-25.90%,29.50%,-1.39%,-0.65%,NA,NA,3.10%,-0.86%,2.23%,-0.62%,32.16%,3.89%,$5.91 ,$4.05 ,($1.13),($1.13),$190.50 ,$182.00 ,$16.10 ,$11.90 ,($0.77),$0.00 ,$0.00 ,($12.40),NA,$11.63 ,$16.45 ,$16.45 ,$130.70 ,$130.70 ,$137.10 ,$137.10 ,$0.00 ,0.03,0.23,0.5,0.1,0.06,$3.23 ,$6.11 ,$0.00 ,0.00%,21%
Bonmarche Holdings plc (AIM:BON),AIM:BON,Retail (Special Lines),United Kingdom,Developed Europe,UK,0.799,0.799,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,NA,NA,$195.10 ,$0.00 ,$0.00 ,$0.00 ,$195.10 ,$0.00 ,$195.10 ,0.00%,0,NA,0.00%,NA,0.00%,$3.90 ,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,16.62%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.60%,30%
KAP - Beteiligungs - AG (DB:IUR),DB:IUR,Apparel,Germany,Developed Europe,EU & Environs,0.8237,1.4304,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$188.70 ,$0.00 ,$139.00 ,$139.00 ,$327.70 ,$17.90 ,$309.80 ,5.46%,NA,35.48%,42.42%,54.98%,73.66%,$28.48 ,NA,NA,NA,0.15,1.19,11.79,11.79,NA,NA,0.75,0.34,24.98,6.61,0.83,0.56,54.56%,4.63%,NA,-16.00%,7.44%,-3.23%,NA,NA,7.17%,3.25%,2.90%,2.25%,0.00%,0.89%,$16.00 ,$16.00 ,$9.95 ,$12.40 ,$552.10 ,$552.10 ,$46.90 ,$46.90 ,$12.40 ,$46.40 ,($13.90),($40.44),-438.22%,$66.74 ,$23.94 ,$70.34 ,$223.00 ,$381.13 ,$252.80 ,$373.62 ,($8.73),NA,NA,0.5,0.08,0.11,$25.30 ,$16.96 ,($8.73),0.00%,21%
Rella Holding A/S (CPSE:RELLA),CPSE:RELLA,Publshing & Newspapers,Denmark,Developed Europe,EU & Environs,0.7712,0.8573,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,$188.00 ,$0.00 ,$21.00 ,$21.00 ,$209.00 ,$0.00 ,$209.00 ,0.00%,0,22.25%,10.05%,28.61%,11.17%,$8.52 ,0.67,16.43%,44.12%,0.14,NA,31.97,33.45,NA,NA,2.56,NA,NA,NA,2.21,NA,0.00%,0.00%,18.60%,-5.31%,NA,NA,NA,NA,7.90%,-0.17%,NA,NA,0.00%,13.96%,$5.88 ,$5.62 ,($0.16),($0.16),$0.00 ,$0.00 ,$0.00 ,$0.00 ,($0.16),$0.67 ,$0.00 ,($6.66),NA,$6.50 ,$11.61 ,$12.28 ,$71.10 ,$92.30 ,$73.40 ,$94.40 ,$0.00 ,0.29,0.42,0.5,0.16,0.1,($0.27),$10.70 ,($4.89),0.00%,21%
BasicNet SpA (BIT:BAN),BIT:BAN,Retail (Special Lines),Italy,Developed Europe,EU & Environs,0.799,0.9839,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,#REF!,#REF!,$184.80 ,$2.46 ,$83.10 ,$85.56 ,$270.36 ,$4.99 ,$265.37 ,1.85%,0,48.41%,31.65%,93.82%,46.30%,$3.21 ,0.24,4.47%,NA,0.34,3.94,NA,NA,21.4,NA,2.03,1.27,14.66,18.18,1.68,1.83,NA,0.00%,NA,NA,-6.55%,-1.23%,NA,20.40%,-19.34%,10.34%,-14.05%,12.35%,50.00%,26.17%,($22.90),($20.60),$18.60 ,$18.11 ,$145.10 ,$146.60 ,$14.60 ,$28.90 ,$9.05 ,$0.00 ,$0.00 ,($9.05),-99.96%,$18.10 ,($11.55),($11.55),$106.50 ,$175.13 ,$91.20 ,$157.57 ,$0.00 ,-0.1,0.57,0.5,0.09,0.11,$13.51 ,$7.30 ,$0.00 ,2.85%,21%
Buch.de Internetstores AG (XTRA:BUE),XTRA:BUE,Retail (Internet),Germany,Developed Europe,EU & Environs,1.2231,1.2231,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$165.10 ,$0.00 ,$0.00 ,$0.00 ,$165.10 ,$0.00 ,$165.10 ,0.00%,0,0.00%,0.00%,0.00%,0.00%,$12.32 ,0.04,NA,NA,0.12,NA,15.88,16.69,NA,NA,2.6,1.28,164.77,74.04,2.6,1.28,7.05%,0.42%,NA,NA,NA,NA,NA,NA,16.91%,1.71%,9.67%,0.98%,3.80%,NA,$10.40 ,$9.89 ,($0.04),$1.00 ,$129.00 ,$102.30 ,$2.23 ,$2.56 ,$0.96 ,$0.00 ,$0.00 ,($2.77),-287.36%,$3.73 ,$12.66 ,$12.66 ,$58.50 ,$58.50 ,$63.40 ,$63.40 ,($0.70),0,0.07,0.5,0.08,0.14,$0.98 ,$2.78 ,($0.70),0.00%,21%
Voyageurs du Monde Soci¨¦t¨¦ Anonyme (ENXTPA:ALVDM),ENXTPA:ALVDM,Hotel/Gaming,France,Developed Europe,EU & Environs,0.7409,0.7578,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$143.00 ,$0.00 ,$5.32 ,$5.32 ,$148.32 ,$63.00 ,$85.32 ,42.48%,0,7.48%,3.59%,8.09%,3.72%,$38.83 ,0.2,NA,NA,0.18,53.78,17.85,17.9,14.02,2.13,2.17,0.38,7.05,4.88,NA,0.23,53.89%,3.01%,5.64%,1.91%,7.99%,5.91%,8.40%,10.30%,14.09%,295.12%,2.01%,3.04%,38.50%,9.16%,$8.01 ,$7.99 ,$12.10 ,$12.10 ,$376.60 ,$398.30 ,$17.50 ,$18.50 ,$7.44 ,$0.00 ,$0.00 ,($5.91),-79.42%,$13.35 ,$13.90 ,$13.90 ,$56.70 ,$4.10 ,$65.80 ,($1.57),($4.31),0.01,0.28,0.5,NA,NA,NA,NA,($4.31),0.60%,21%
Ultrasonic AG (DB:US5),DB:US5,Shoe,Germany,Developed Europe,EU & Environs,0.8966,0.9196,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$141.50 ,$0.44 ,$4.53 ,$4.97 ,$146.47 ,$144.50 ,$1.97 ,98.66%,0,2.36%,3.39%,2.42%,3.51%,$11.23 ,0.4,5.48%,58.88%,0.21,171.84,3.49,3.24,3.18,3.49,0.69,0.72,0.03,0.03,0.03,0.01,0.00%,0.00%,NA,NA,NA,NA,1.00%,11.80%,29.35%,174.10%,20.34%,27.89%,27.05%,10.88%,$40.60 ,$43.70 ,$59.80 ,$59.94 ,$196.50 ,$214.90 ,$56.90 ,$61.80 ,$43.73 ,$2.85 ,$7.25 ,$23.41 ,70.11%,$13.07 ,$10.19 ,$13.04 ,$148.90 ,$34.43 ,$205.00 ,$65.47 ,$0.00 ,0.13,0.34,0.5,NA,NA,NA,NA,($1.27),0.00%,21%
Inter Groclin Auto Sp¨®lka Akcyjna (WSE:GCN),WSE:GCN,Auto Parts,Poland,Developed Europe,EU & Environs,1.1136,1.541,#REF!,#REF!,3.35%,#REF!,#REF!,#REF!,NA,NA,$139.90 ,$0.00 ,$53.70 ,$53.70 ,$193.60 ,$0.68 ,$192.92 ,0.35%,0,44.75%,27.74%,81.00%,38.38%,$12.09 ,NA,NA,NA,0.37,NA,NA,NA,NA,NA,2.11,NA,NA,NA,1.62,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,1.39%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$66.30 ,$119.32 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,1.28%,21%
Bastei L¨¹bbe AG (DB:BST),DB:BST,Publshing & Newspapers,Germany,Developed Europe,EU & Environs,0.7712,1.0649,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$137.10 ,$10.23 ,$52.00 ,$62.23 ,$199.33 ,$0.14 ,$199.19 ,0.07%,0,69.51%,31.22%,227.95%,45.39%,$10.31 ,NA,NA,NA,0.17,6.35,13.57,10.71,NA,NA,5.02,1.09,10.82,12.37,2.23,1.58,0.00%,0.00%,NA,NA,NA,NA,NA,NA,56.14%,34.81%,8.83%,12.70%,16.08%,0.18%,$10.10 ,$12.80 ,$18.10 ,$18.40 ,$126.00 ,$144.90 ,$16.10 ,$20.50 ,$15.44 ,($11.15),$15.85 ,$4.79 ,133.64%,($5.20),$3.31 ,($7.84),$22.80 ,$52.87 ,$27.30 ,$89.39 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
FNG Group (ENXTBR:FNG),ENXTBR:FNG,Apparel,Belgium,Developed Europe,EU & Environs,0.8237,0.8237,#REF!,#REF!,3.10%,#REF!,#REF!,#REF!,NA,NA,$127.10 ,$0.00 ,$0.00 ,$0.00 ,$127.10 ,$0.00 ,$127.10 ,0.00%,NA,NA,0.00%,NA,0.00%,$25.55 ,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.90%,21%
GameAccount Network plc (AIM:GAME),AIM:GAME,Hotel/Gaming,United Kingdom,Developed Europe,UK,0.7409,0.7454,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,NA,#REF!,$127.10 ,$0.78 ,$0.00 ,$0.78 ,$127.88 ,$0.00 ,$127.88 ,0.00%,0,NA,0.61%,NA,0.61%,$2.29 ,NA,NA,NA,0.05,NA,602.37,602.37,NA,NA,NA,14.22,NA,NA,164.09,14.3,0.00%,0.00%,NA,NA,NA,NA,NA,NA,NA,-178.99%,2.36%,-15.60%,0.00%,25.21%,$0.21 ,$0.21 ,($1.52),($1.39),$8.94 ,$8.94 ,($0.36),($0.36),($1.39),$0.36 ,($2.46),$1.17 ,NA,($0.10),$1.15 ,$1.51 ,$0.00 ,$0.78 ,$0.00 ,$0.78 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.60%,30%
Italia Independent Group S.p.A. (BIT:IIG),BIT:IIG,Apparel,Italy,Developed Europe,EU & Environs,0.8237,0.8564,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,NA,NA,$119.90 ,$0.00 ,$8.94 ,$8.94 ,$128.84 ,$14.40 ,$114.44 ,11.18%,0,29.96%,6.94%,42.78%,7.46%,$54.27 ,NA,NA,NA,0.2,9.56,151.01,151.01,53.73,1.43,5.74,5.79,36.36,35.76,7.89,5.53,3.78%,0.03%,NA,NA,NA,NA,105.30%,NA,NA,NA,3.84%,15.20%,46.67%,6.57%,$0.79 ,$0.79 ,$2.80 ,$3.15 ,$20.70 ,$20.70 ,$3.20 ,$3.20 ,$1.68 ,($1.69),$1.62 ,$2.78 ,262.09%,($2.72),($1.92),($3.61),$0.00 ,$0.00 ,$20.90 ,$14.51 ,($0.03),NA,NA,0.5,NA,NA,NA,NA,($0.03),2.85%,21%
Bergbahnen Engelberg-Truebsee-Titlis AG (SWX:TIBN),SWX:TIBN,Recreation,Switzerland,Developed Europe,EU & Environs,0.8585,0.8585,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$119.90 ,$0.00 ,$0.00 ,$0.00 ,$119.90 ,$0.00 ,$119.90 ,0.00%,NA,NA,0.00%,NA,0.00%,$189.48 ,NA,NA,NA,0.04,NA,9.29,NA,NA,NA,NA,2.01,NA,4.91,NA,2.01,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.00%,NA,NA,0.00%,0.50%,$12.90 ,$0.00 ,$0.00 ,$0.00 ,$59.60 ,$0.00 ,$24.40 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$21.90 ,$37.74 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Stern Groep NV (ENXTAM:STRN),ENXTAM:STRN,Retail (Automotive),Netherlands,Developed Europe,EU & Environs,0.6413,3.3183,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$109.80 ,$0.00 ,$458.30 ,$458.30 ,$568.10 ,$0.99 ,$567.11 ,0.17%,0,72.18%,80.67%,259.51%,417.40%,$20.41 ,NA,NA,NA,0.23,NA,NA,NA,14.9,NA,0.62,0.09,NA,10.72,0.95,0.46,NA,6.50%,NA,NA,4.14%,1.74%,NA,-3.77%,-4.68%,-0.59%,-0.74%,-0.29%,0.00%,18.49%,($9.08),($9.08),($3.54),($3.54),"$1,234.10 ","$1,234.10 ",$52.90 ,$52.90 ,($3.54),($8.94),($54.18),$96.43 ,NA,($45.80),($42.40),($51.34),$194.10 ,$600.38 ,$176.60 ,$596.11 ,($7.14),NA,NA,0.5,0.08,0.07,$13.83 ,$9.27 ,($9.30),0.00%,21%
Vistula Group Sp¨®lka Akcyjna (WSE:VST),WSE:VST,Apparel,Poland,Developed Europe,EU & Environs,0.8237,1.1257,#REF!,#REF!,3.85%,#REF!,#REF!,#REF!,#REF!,#REF!,$108.30 ,$0.00 ,$47.80 ,$47.80 ,$156.10 ,$2.34 ,$153.76 ,1.50%,0,27.19%,30.62%,37.34%,44.14%,$0.62 ,2.62,37.68%,94.21%,0.47,1.6,27.35,7.85,13.84,NA,0.85,0.85,14.11,13.98,1.61,1.21,0.00%,0.00%,140.90%,42.20%,3.99%,-3.00%,NA,3.29%,13.64%,11.60%,10.92%,8.62%,16.93%,48.79%,$3.96 ,$13.80 ,$10.90 ,$10.90 ,$127.60 ,$126.40 ,$11.00 ,$14.50 ,$9.05 ,$58.94 ,($1.98),$2.50 ,5.70%,$8.54 ,($45.65),$13.28 ,$101.20 ,$93.94 ,$128.00 ,$95.26 ,$0.00 ,1.42,1.09,0.5,0.16,0.19,$1.86 ,($0.85),$0.00 ,1.28%,21%
Lotto24 AG (DB:LO24),DB:LO24,Hotel/Gaming,Germany,Developed Europe,EU & Environs,0.7409,0.7409,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$105.80 ,$0.00 ,$0.00 ,$0.00 ,$105.80 ,$0.00 ,$105.80 ,0.00%,0,NA,0.00%,NA,0.00%,$5.30 ,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,21.61%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
vwd Vereinigte Wirtschaftsdienste AG (XTRA:VWD),XTRA:VWD,Publshing & Newspapers,Germany,Developed Europe,EU & Environs,0.7712,0.8654,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,NA,$95.80 ,$0.00 ,$11.70 ,$11.70 ,$107.50 ,$0.00 ,$107.50 ,0.00%,0,30.47%,10.88%,43.82%,12.21%,$3.72 ,0.15,NA,NA,0.05,NA,NA,NA,32.63,NA,3.59,0.83,32.98,13.78,2.8,0.93,NA,0.00%,NA,NA,3.31%,3.14%,NA,NA,-23.42%,NA,-6.69%,2.89%,0.00%,NA,($6.30),($7.54),($1.44),$3.26 ,$115.80 ,$112.70 ,$7.80 ,$7.19 ,$3.26 ,$0.00 ,$0.00 ,($8.28),-253.99%,$11.54 ,$0.74 ,$0.74 ,$32.20 ,($36.40),$26.70 ,$38.40 ,$0.00 ,-0.01,0.24,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Homair Vacances (ENXTPA:ALHOM),ENXTPA:ALHOM,Hotel/Gaming,France,Developed Europe,EU & Environs,0.7409,0.7409,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,NA,NA,$91.50 ,$0.00 ,$0.00 ,$0.00 ,$91.50 ,$0.00 ,$91.50 ,0.00%,0,NA,0.00%,NA,0.00%,$6.98 ,NA,NA,NA,0.29,NA,17.87,NA,19.5,6.62,NA,0.97,3.39,3.75,NA,0.97,NA,0.00%,NA,NA,NA,NA,2.70%,NA,NA,NA,NA,NA,0.00%,1.38%,$5.12 ,$0.00 ,$0.00 ,$27.00 ,$94.50 ,$0.00 ,$24.40 ,$0.00 ,$27.00 ,$0.00 ,$0.00 ,$0.00 ,0.00%,$27.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.60%,21%
Usas Ucak Servisi Anonim Sirketi (IBSE:UCAK),IBSE:UCAK,Restaurant,Turkey,Developed Europe,EU & Environs,0.642,0.642,#REF!,#REF!,6.20%,#REF!,#REF!,#REF!,#REF!,#REF!,$88.30 ,$0.00 ,$0.00 ,$0.00 ,$88.30 ,$0.21 ,$88.09 ,0.24%,0.01,0.00%,0.00%,0.00%,0.00%,$0.48 ,0.44,6.32%,109.10%,0.58,NA,674.05,5.93,NA,NA,0.45,NA,NA,NA,0.49,NA,0.00%,0.00%,NA,NA,111.50%,7.12%,NA,NA,32.96%,-1.91%,48.38%,-2.81%,6.17%,NA,$0.13 ,$14.90 ,($0.88),($0.86),$0.00 ,$30.80 ,($0.63),($0.88),($0.81),$0.00 ,$0.00 ,$0.00 ,NA,($0.81),$14.90 ,$14.90 ,$45.20 ,$45.17 ,$194.20 ,$179.59 ,$0.00 ,0.28,0.11,0.5,0.13,0.14,$9.23 ,$13.05 ,$0.00 ,3.30%,21%
Woluwe Extension SA (ENXTBR:WOLE),ENXTBR:WOLE,Retail (Special Lines),Belgium,Developed Europe,EU & Environs,0.799,0.799,#REF!,#REF!,3.10%,#REF!,#REF!,#REF!,NA,NA,$87.50 ,$0.00 ,$0.00 ,$0.00 ,$87.50 ,$0.00 ,$87.50 ,0.00%,NA,NA,0.00%,NA,0.00%,$849.64 ,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,15.87%,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.90%,21%
Restamax Oyj (HLSE:RESTA),HLSE:RESTA,Restaurant,Finland,Developed Europe,EU & Environs,0.642,0.642,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$86.20 ,$0.00 ,$0.00 ,$0.00 ,$86.20 ,$1.86 ,$84.34 ,2.16%,0,0.00%,0.00%,0.00%,0.00%,$6.05 ,NA,NA,NA,0.06,NA,NA,NA,NA,NA,4.61,NA,NA,NA,5.01,NA,NA,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$18.70 ,$16.84 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Roeder Zeltsysteme und Service AG (DB:RZS),DB:RZS,Retail (Special Lines),Germany,Developed Europe,EU & Environs,0.799,0.799,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$84.80 ,$0.00 ,$0.00 ,$0.00 ,$84.80 ,$0.00 ,$84.80 ,0.00%,NA,NA,0.00%,NA,0.00%,$96.40 ,NA,NA,NA,0.22,6.83,40.19,40.19,NA,NA,NA,0.95,10.61,6.01,NA,0.95,214.69%,5.34%,NA,-21.60%,11.70%,1.90%,NA,NA,NA,NA,2.36%,8.94%,50.00%,4.87%,$2.11 ,$2.11 ,$5.37 ,$7.99 ,$89.40 ,$89.40 ,$14.10 ,$14.10 ,$4.00 ,($1.33),$0.19 ,$0.21 ,10.11%,$3.59 ,$3.04 ,$1.71 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($4.53),NA,NA,0.5,0.06,0.07,$5.34 ,$3.86 ,($4.53),0.00%,21%
Fiducial Office Solutions (ENXTPA:SACI),ENXTPA:SACI,Retail (Distributors),France,Developed Europe,EU & Environs,0.5693,0.6603,#REF!,#REF!,2.90%,#REF!,#REF!,#REF!,#REF!,#REF!,$82.90 ,$0.00 ,$13.50 ,$13.50 ,$96.40 ,$3.18 ,$93.22 ,3.30%,NA,13.01%,14.00%,14.95%,16.28%,$38.23 ,0.79,NA,NA,0.01,8.39,17.45,19.28,NA,NA,0.92,0.29,18.64,13.63,0.93,0.33,0.00%,0.00%,-17.30%,-6.12%,1.49%,0.96%,NA,NA,4.80%,5.04%,1.52%,1.77%,1.87%,NA,$4.75 ,$4.30 ,$5.00 ,$5.00 ,$283.60 ,$282.30 ,$6.84 ,$6.45 ,$4.91 ,($0.58),$0.00 ,$2.34 ,47.59%,$2.57 ,$2.55 ,$1.97 ,$89.50 ,$99.21 ,$90.30 ,$100.62 ,$0.00 ,NA,0.1,0.5,NA,NA,NA,NA,$0.00 ,0.60%,21%
HanseYachts AG (DB:H9Y),DB:H9Y,Recreation,Germany,Developed Europe,EU & Environs,0.8585,1.0453,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$77.70 ,$0.00 ,$16.90 ,$16.90 ,$94.60 ,$2.22 ,$92.38 ,2.35%,0,44.47%,17.86%,80.09%,21.75%,$8.10 ,NA,NA,NA,0.51,NA,NA,NA,NA,NA,3.68,0.72,1490,NA,2.58,0.85,NA,0.00%,NA,NA,NA,NA,NA,NA,0.00%,0.12%,NA,NA,0.00%,6.50%,($15.50),$0.00 ,$0.00 ,$0.06 ,$108.60 ,$0.00 ,($8.09),$0.00 ,$0.06 ,$0.00 ,$0.00 ,$0.00 ,0.00%,$0.06 ,$0.00 ,$0.00 ,$47.10 ,$53.21 ,$21.10 ,$35.78 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
VanCamel AG (DB:VC8),DB:VC8,Apparel,Germany,Developed Europe,EU & Environs,0.8237,0.8237,#REF!,#REF!,2.50%,#REF!,#REF!,#REF!,NA,NA,$70.60 ,$0.00 ,$0.00 ,$0.00 ,$70.60 ,$0.00 ,$70.60 ,0.00%,0,NA,0.00%,NA,0.00%,$4.71 ,NA,NA,NA,1,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,0.20%,NA,NA,NA,NA,NA,0.00%,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,NA,NA,0.5,NA,NA,NA,NA,$0.00 ,0.00%,21%
Hoftex Group AG (BAYB:NBH),BAYB:NBH,Apparel,Germany,Developed Europe,EU & Environs,0.8237,1.0157,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,$70.60 ,$0.00 ,$18.20 ,$18.20 ,$88.80 ,$3.46 ,$85.34 ,3.90%,0,14.56%,20.50%,17.04%,25.78%,$12.97 ,0.5,9.49%,57.71%,0.14,3.49,8.31,8.25,NA,NA,0.66,0.26,10.06,4.27,0.7,0.32,12.39%,1.50%,5.05%,43.20%,3.61%,0.77%,NA,NA,8.87%,8.05%,3.40%,3.37%,9.59%,9.92%,$8.50 ,$8.56 ,$8.48 ,$8.48 ,$268.60 ,$251.60 ,$20.00 ,$19.70 ,$7.67 ,$8.22 ,$2.93 ,$6.01 ,116.57%,($1.27),($8.60),($0.38),$96.50 ,$105.31 ,$106.80 ,$121.54 ,($1.06),0.22,0.31,0.5,0.11,0.13,$3.37 ,$1.08 ,($1.06),0.00%,21%
